geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spain,,,,,,,,,,,,,,,,,3.67,3.9,3.79,3.37,2.98,2.81,2.46,2.5,2.41,2.2,2.13,1.77,1.66,1.38,1.16,1.03,1.05,0.95,0.85,1.12,0.94,0.74,0.76,0.71,0.66,0.57,0.54,0.57,0.44,0.44,0.39,0.38
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,6.7,5.9,5.1,6.1,5.5,6.81,6.2,6.5,5.5,4.8,4.8,4.5,3.2,4.42,4.43,4.52,4.45,4.41,4.47,3.73,2.99,2.86,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,0.45,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.22,0.88,1.82,1.52,1.02,0.61,0.54,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,1.27,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,0.55,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1.6,0.97,0.93,,,,,,,,,,,,,,,1.07,0.64,1.08,,
Sweden,,,,,,,,,,,,,,,,,,0.22,0.22,0.17,0.17,0.22,0.28,0.39,0.45,0.44,0.49,0.49,0.45,0.37,0.66,0.41,0.49,0.45,0.48,0.35,0.32,0.29,0.23,0.19,0.27,0.21,0.21,0.22,0.21,0.24,0.24,0.25
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,1.73,1.87,1.83,1.66,1.91,1.9,1.75,1.42,1.32,1.37,1.68,1.46,1.73,1.64,1.59,1.56,1.71,1.57,1.47,1.57,1.61
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,7.24,7.39,4.6,3.2,2.72,2.45,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,0.55,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,9.51,,,,,31.8,,25.6,21.1,,,
Thailand,,,,,,,,,,,,,,,,,,26.7,29,28.9,27,24.8,25.5,21.4,21.6,18.5,16.3,18.1,18.4,16.5,16.4,15.6,15.9,16,14.7,13.5,13.9,14.1,14.7,13.6,14.2,16.3,17,12,11.8,11.5,11.4,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,14.7,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,3.11,3.26,2.75,2.53,2,2.2,2.02,2.05,1.73,1.13,1.12,0.69,0.84,0.57,0.43,0.46,0.33,0.32,0.29,,,,0.29,0.17,0.25,0.16,0.1,0.21,0.13,0.17,
Tunisia,,,,,,,,,,,,,,,,,,,,5.73,,,,,0.96,,,,,,,,,,,4.05,4.38,3.75,3.42,3.64,3.88,3.14,3.49,2.93,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,,5.41,5.02,4.84,5.36,5.08,4.84,4.61,4.55,4.87,4.53,4.57,4.51
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,10.3,,,,,,3.01,,,13.3,22.8,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.09,0.23,0.15,0.68,0.76,0.86,1.46,1.11,0.55,0.54,0.49,0.44,0.35,0.52,0.5,0.4,0.38,0.42,0.28,0.23,0.26,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.01,0.06
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,0.38,0.3,0.34,0.29,0.29,0.25,0.19,0.23,0.25,0.24,0.2,0.19,0.26,0.23,0.24,0.24,0.23,0.22,0.25,0.24,0.28,0.26,0.32,0.28,0.33,0.31
United States,,,,,,,0.31,0.3,0.24,0.24,0.27,0.24,0.26,0.24,0.2,0.16,0.15,0.16,0.14,0.13,0.13,0.12,0.13,0.14,0.09,0.07,0.1,0.09,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.05,0.06,0.05,0.07,0.05,0.07,0.06,0.04,0.05,0.04,0.04
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.83,0.6,0.87,0.88,0.67,0.63,0.95,0.84,0.87,0.83,0.7,0.67,0.69,0.61,0.58,0.49,0.44,0.57
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.15,1.41,0.74,1.29,1.93,1.39,1.77,1.87,1.98,1.38,1.07,0.85,0.59,0.76,0.48,0.4,0.58,0.53,0.45,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,22.9,22.2,22.5,21.2,21.9,23.6,21.9,18.9,,,11.8,,11.8,13,12.5,12.1,12,16.5,11.4,10.4,10.2
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,9.35,,,
Zambia,,,,,,,,,,,,,,,,,,,,,27.8,17,,,,,12.9,,15.7,,25.4,,,,,,,,,,,,17.1,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,13.3,,13.7,,,,,,,,,,,,0.63,7.53,,,,,
