geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,0.84,0.7,0.63,0.38,0.38,0.75,0.44,0.98,0.6,4.79,3.41,4.61,3.5,3.37,2.12,3.22,2.73,3.63,2.98,2.81,2.82,2.64,2.53,2.34,2.2,2.02
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.93,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,7.36,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,6.35,4.93,4.87,4.67,4.14,3.51,3.28,3.3,3.22,2.9,2.64,2.98,2.37,2.2,2.55,,2.12,1.78,1.66,1.69,1.28,0.92,1.18,1.19,1.15,0.9,1.29,1.46,1.65,1.4,1.29
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,12.7,9.44,,,8.9,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.08,2.95,2.82,2.17,2.41,2.48,2.03,1.56,1.1,1.09,1.19,1.04,1.12,1.22,1.16,1.15,0.9,0.8,1.17,0.89,1.06
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.12,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,1.13,0.9,1.08,1.14,1.23,1.1,0.91,0.95,1.43,1.43,1.47,1.27,1.2,1.56,1.19,1.18,0.8
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.25,0.28,0.2,0.18,0.16,0.22,0.21,0.26,0.15,0.33,0.33,0.34,0.22,0.25,0.33,0.31,0.27,0.2,0.25,0.45,0.23,0.25,0.21,0.18
Denmark,,,,,,,,,,,,,,0.04,0.11,0.17,0.1,0.17,0.08,0.12,0.12,0.07,0.38,0.18,0.19,0.28,0.3,0.27,0.27,0.25,0.17,0.32,0.28,0.23,0.3,0.27,0.25,0.4,0.3,0.27,0.12,0.15,0.14,0.1,0.16,0.27,0.7,0.33
Dominica,,,,,,,,,,,,,,,,,,,,,,2.96,,,,,,0.75,,1.37,,1.22,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,4.02,2.19,1.91,2.03,1.4,1.41,1.57,1.87,1.94,1.89,2.01,2.05,1.24,1.41,1.31,1.24,1.29,0.99,1.52,1.16,
Ecuador,,,,,,,,,,,,,,,,,,,2.49,2.25,3.87,3.48,4.04,3.81,3.41,3.5,3.87,2.42,4.05,3.01,7.37,6.86,3.02,4.9,6.3,5.53,6.68,5.69,5.75,5.83,5.18,4.62,5.19,4.92,4.17,5.15,6.49,6.87
Egypt,,,,,,,,,,,,,,,,,,,,,,,,9.59,8.76,9.27,,8.81,9.62,8.91,8.15,7.58,8.38,8.96,9.37,8.53,8.56,8.68,9.04,8.25,6.4,6.2,5.4,5.46,5.33,5.6,4.37,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,7.39,7.92,8.92,10.2,8.74,10.5,8.25,8.26,10.9,9.52,8.45,7.66,9.53,8.76,9.03,6.19,7.14,6.54,7.03,7.56,7.08,6.94,6.13,5.81,6.16
Equatorial Guinea,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,0.63,,,,,,0.95,1.04,1.19,0.64,0.58,0.42,0.72,0.57,0.24,0.69,0.24,0.17,0.13,0.07,0.18,0.24,0.3,0.26,0.26,0.21,0.06,0.14,0.22
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,23.1,,,,,,,,23.8,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,11.3,10.4,,,10.5,,,16.4,,,0.29,,0.79,
Finland,,,,,,,,,,,,,,,,,,,,1.72,1.69,1.57,1.61,1.61,1.62,1.66,1.63,1.19,0.64,0.85,0.72,0.68,0.55,0.42,0.51,0.62,0.6,0.66,0.59,0.67,0.62,0.58,0.59,0.57,0.59,0.56,0.58,0.49
France,,,,,,,,,,,,,,1.04,1.06,1.11,1.07,1.12,0.97,0.95,0.87,0.89,0.7,0.75,0.76,0.66,0.64,0.56,0.48,0.47,0.41,0.35,0.42,0.55,0.54,0.47,0.47,0.32,0.28,0.26,0.28,0.24,0.26,0.2,0.19,0.14,0.16,0.14
Gabon,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.8,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,21.5,22.7,23.2,20.1,19.9,18.8,19,,,19.6,18.4,16.1,16.3,15.4,14.1,14.5,13.6,14.7,
Germany,,,,,,,,,,,,,,0.98,0.88,0.65,0.69,0.64,0.6,0.45,0.52,0.39,0.41,0.41,0.44,0.42,0.33,0.38,0.38,0.31,0.32,0.44,0.44,0.41,0.49,0.51,0.44,0.44,0.41,0.31,0.3,0.34,0.33,0.28,0.25,0.24,0.23,0.22
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78,,,16.3,,5.29,,
Greece,,,,,,,,,,,,,,4.65,4.8,4.69,4.82,4.54,4.71,4.96,4.76,4.68,4.6,4.99,5,5.2,5.04,5.14,5.53,5.14,5.15,4.56,4.18,4.33,3.17,3.3,3.81,3.71,3.39,3.34,3.3,3.37,3.08,2.9,2.99,2.96,2.56,2.46
Grenada,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,1.08,,0.71,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,15.1,,21.3,11,9.87,,,,,,10.1,11.1,11.3,8.6,8.44,8.42,6.82,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,11.3,11.3,9.67,,9.66,10.2,13.9,12.4,11.9,12.3,,12.8,13,12.6,13.7,9.38,9.39,7.66,8.14,8.14,9.82,10.9,11,8.59,7.14,8.6,7.41,
Hungary,,,,,,,,,,,,,,,,,,,,,,,0.74,0.69,0.67,0.67,0.66,0.73,0.52,0.52,0.44,0.47,0.33,0.34,0.21,0.26,0.27,0.25,0.26,0.35,0.23,0.24,0.26,0.23,0.25,0.27,0.23,0.14
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.39,0.26,,0.24,0.25,0.25,,,,0.09,0.08,,,,,0.09,,,,,0.13
India,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,12.4,,,,,13.1,,,,,10.9,,10.3,,,,,
